zone_id,latitude,longitude,area_in_meters,confidence
Z1,-33.43,-70.62,120,0.92
Z1,-33.431,-70.621,140,0.88
Z1,-33.434,-70.612,75,0.55
Z1,-33.439,-70.631,220,0.96
Z2,-33.405,-70.575,160,0.81
Z2,-33.398,-70.589,190,0.76
Z2,-33.41,-70.56,280,0.91
Z2,-33.392,-70.552,95,0.48
Z3,-33.515,-70.77,210,0.69
Z3,-33.507,-70.755,180,0.72
Z3,-33.522,-70.781,130,0.63
Z3,-33.499,-70.748,260,0.84
Z4,-33.445,-70.651,300,0.94
Z4,-33.438,-70.644,110,0.58
Z4,-33.456,-70.665,90,0.44
Z4,-33.433,-70.632,340,0.97
Z5,-33.458,-70.803,150,0.79
Z5,-33.465,-70.788,170,0.67
Z5,-33.442,-70.771,125,0.53
Z5,-33.436,-70.762,205,0.86
